<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2016.05.03	00:00:00	1.15331	1.15417	1.15206	1.15321	21716	26791288000	0
2016.05.03	08:00:00	1.15321	1.16159	1.15267	1.15533	73218	109804178000	7
2016.05.03	16:00:00	1.15532	1.15634	1.14947	1.14949	64380	92956765000	0
2016.05.04	00:00:00	1.14960	1.15082	1.14762	1.14870	25578	29966638000	0
2016.05.04	08:00:00	1.14870	1.15292	1.14694	1.14930	67417	95634505000	7
2016.05.04	16:00:00	1.14930	1.15178	1.14659	1.14855	63043	91521401000	7
2016.05.05	00:00:00	1.14829	1.14934	1.14817	1.14837	17851	21983553000	0
2016.05.05	08:00:00	1.14837	1.14934	1.14177	1.14339	55112	80573156000	7
2016.05.05	16:00:00	1.14338	1.14361	1.13856	1.14048	56091	81113777000	7
2016.05.06	00:00:00	1.14040	1.14091	1.13923	1.14028	18778	25732016000	0
2016.05.06	08:00:00	1.14028	1.14796	1.13963	1.14354	60807	85698584000	7
2016.05.06	16:00:00	1.14354	1.14416	1.13863	1.14009	58905	85522725000	7
2016.05.09	00:00:00	1.13939	1.14117	1.13800	1.14115	21024	26085860000	7
2016.05.09	08:00:00	1.14114	1.14194	1.13750	1.14021	53419	82824929000	7
2016.05.09	16:00:00	1.14021	1.14138	1.13785	1.13806	43732	64310302000	7
2016.05.10	00:00:00	1.13814	1.13924	1.13705	1.13735	19987	29825993000	0
2016.05.10	08:00:00	1.13735	1.14016	1.13583	1.13739	53151	83331059000	7
2016.05.10	16:00:00	1.13739	1.14096	1.13653	1.13717	44035	65324540000	7
2016.05.11	00:00:00	1.13691	1.13913	1.13686	1.13799	18711	24985139000	0
2016.05.11	08:00:00	1.13802	1.14196	1.13798	1.14058	42494	62242540000	7
2016.05.11	16:00:00	1.14060	1.14462	1.14025	1.14251	48813	84174971000	7
2016.05.12	00:00:00	1.14242	1.14288	1.14211	1.14232	16173	23683737000	0
2016.05.12	08:00:00	1.14231	1.14244	1.13779	1.14045	50638	81143216000	7
2016.05.12	16:00:00	1.14044	1.14144	1.13702	1.13766	49794	81522960000	0
2016.05.13	00:00:00	1.13736	1.13795	1.13664	1.13732	19887	30951591000	0
2016.05.13	08:00:00	1.13731	1.13756	1.13073	1.13168	55670	87977862000	7
2016.05.13	16:00:00	1.13166	1.13312	1.12825	1.13088	57976	95373990000	7
2016.05.16	00:00:00	1.13098	1.13193	1.13019	1.13096	21019	32310997000	0
2016.05.16	08:00:00	1.13096	1.13420	1.13067	1.13359	44312	64015664000	7
2016.05.16	16:00:00	1.13359	1.13403	1.13133	1.13193	38493	63225949000	7
2016.05.17	00:00:00	1.13198	1.13251	1.13127	1.13151	20067	30126061000	7
2016.05.17	08:00:00	1.13151	1.13399	1.13013	1.13105	50487	75473418000	7
2016.05.17	16:00:00	1.13108	1.13482	1.13104	1.13118	50383	87974162000	7
2016.05.18	00:00:00	1.13111	1.13159	1.12839	1.12851	22751	33468874000	7
2016.05.18	08:00:00	1.12851	1.12884	1.12559	1.12741	56128	106514007000	7
2016.05.18	16:00:00	1.12740	1.12925	1.12140	1.12158	64060	100979226000	7
2016.05.19	00:00:00	1.12144	1.12289	1.12108	1.12181	22984	38077255000	0
2016.05.19	08:00:00	1.12181	1.12297	1.11796	1.11809	59717	97488299000	7
2016.05.19	16:00:00	1.11809	1.12272	1.11801	1.12019	54972	87012355000	7
2016.05.20	00:00:00	1.12016	1.12100	1.11960	1.12006	14516	21302317000	0
2016.05.20	08:00:00	1.12006	1.12279	1.12001	1.12220	44004	68303995000	7
2016.05.20	16:00:00	1.12222	1.12370	1.12043	1.12217	42148	69609858000	7
2016.05.23	00:00:00	1.12033	1.12426	1.12022	1.12310	20063	29664144000	0
2016.05.23	08:00:00	1.12310	1.12390	1.11992	1.11998	46529	67721293000	7
2016.05.23	16:00:00	1.11997	1.12304	1.11873	1.12190	38920	65322504000	7
2016.05.24	00:00:00	1.12187	1.12214	1.12025	1.12130	17182	24642494000	0
2016.05.24	08:00:00	1.12130	1.12267	1.11564	1.11603	56244	100617802000	7
2016.05.24	16:00:00	1.11606	1.11632	1.11321	1.11393	49337	90206323000	7
2016.05.25	00:00:00	1.11398	1.11576	1.11341	1.11498	18880	28167290000	0
2016.05.25	08:00:00	1.11499	1.11562	1.11357	1.11465	49321	83113740000	7
2016.05.25	16:00:00	1.11464	1.11666	1.11285	1.11539	49343	89522365000	7
2016.05.26	00:00:00	1.11536	1.11864	1.11492	1.11796	23562	35345568000	0
2016.05.26	08:00:00	1.11797	1.12016	1.11586	1.12000	47662	70286009000	7
2016.05.26	16:00:00	1.12003	1.12164	1.11687	1.11927	46334	88716167000	7
2016.05.27	00:00:00	1.11918	1.11992	1.11833	1.11884	22764	30630469000	0
2016.05.27	08:00:00	1.11884	1.12004	1.11525	1.11560	43276	66639434000	7
2016.05.27	16:00:00	1.11558	1.11617	1.11107	1.11130	44824	74833551000	0
2016.05.30	00:00:00	1.11125	1.11153	1.10977	1.11049	24671	31134380000	0
2016.05.30	08:00:00	1.11049	1.11434	1.11004	1.11394	32410	46945780000	7
2016.05.30	16:00:00	1.11394	1.11443	1.11277	1.11380	17515	23015069000	7
2016.05.31	00:00:00	1.11362	1.11545	1.11309	1.11328	24202	34421726000	0
2016.05.31	08:00:00	1.11329	1.11648	1.11219	1.11539	54917	102301399000	7
2016.05.31	16:00:00	1.11539	1.11731	1.11245	1.11303	55535	123595470000	7
2016.06.01	00:00:00	1.11301	1.11365	1.11138	1.11236	21567	28820932000	7
2016.06.01	08:00:00	1.11236	1.11854	1.11157	1.11775	64734	111297983000	7
2016.06.01	16:00:00	1.11775	1.11937	1.11485	1.11869	56322	99862556000	7
2016.06.02	00:00:00	1.11865	1.12134	1.11823	1.12049	27145	37184900000	0
2016.06.02	08:00:00	1.12049	1.12198	1.11657	1.11884	59278	99456403000	7
2016.06.02	16:00:00	1.11885	1.11920	1.11449	1.11510	48068	93611497000	7
2016.06.03	00:00:00	1.11499	1.11584	1.11419	1.11570	19358	26913848000	0
2016.06.03	08:00:00	1.11570	1.12974	1.10707	1.12867	55255	99159453000	7
2016.06.03	16:00:00	1.12868	1.13732	1.12860	1.13662	76622	134767964000	7
2016.06.06	00:00:00	1.13542	1.13719	1.13359	1.13413	31991	44072863000	7
2016.06.06	08:00:00	1.13413	1.13632	1.13306	1.13484	53584	88638970000	7
2016.06.06	16:00:00	1.13484	1.13923	1.13262	1.13528	57166	105847030000	7
2016.06.07	00:00:00	1.13528	1.13669	1.13500	1.13569	24434	35310454000	0
2016.06.07	08:00:00	1.13569	1.13801	1.13383	1.13647	53110	101416882000	7
2016.06.07	16:00:00	1.13647	1.13667	1.13406	1.13555	44318	95957471000	7
2016.06.08	00:00:00	1.13563	1.13742	1.13541	1.13739	23172	30232761000	0
2016.06.08	08:00:00	1.13739	1.13947	1.13609	1.13920	45757	79418087000	7
2016.06.08	16:00:00	1.13919	1.14103	1.13871	1.13938	49351	103122351000	7
2016.06.09	00:00:00	1.13936	1.14151	1.13898	1.14044	24344	34014487000	0
2016.06.09	08:00:00	1.14043	1.14057	1.13256	1.13256	54084	97463528000	0
2016.06.09	16:00:00	1.13249	1.13365	1.13052	1.13129	50627	103313226000	7
2016.06.10	00:00:00	1.13130	1.13197	1.12894	1.12939	24375	31568510000	7
2016.06.10	08:00:00	1.12939	1.13210	1.12815	1.13040	50742	68002173000	7
2016.06.10	16:00:00	1.13038	1.13044	1.12450	1.12533	58433	90822628000	7
2016.06.13	00:00:00	1.12478	1.12551	1.12316	1.12504	34684	45492285000	0
2016.06.13	08:00:00	1.12503	1.12778	1.12468	1.12508	59159	109477610000	7
2016.06.13	16:00:00	1.12508	1.13027	1.12373	1.12893	55968	110816396000	7
2016.06.14	00:00:00	1.12890	1.12980	1.12847	1.12875	20944	27320562000	0
2016.06.14	08:00:00	1.12875	1.12904	1.12081	1.12338	65322	120521475000	7
2016.06.14	16:00:00	1.12338	1.12410	1.11886	1.12056	53227	96246600000	7
2016.06.15	00:00:00	1.12068	1.12139	1.11894	1.12085	22681	33204706000	0
2016.06.15	08:00:00	1.12085	1.12376	1.11976	1.12254	50774	83316125000	7
2016.06.15	16:00:00	1.12258	1.12982	1.12090	1.12602	67079	119442462000	7
2016.06.16	00:00:00	1.12580	1.12851	1.12556	1.12765	32486	40925370000	0
2016.06.16	08:00:00	1.12765	1.12946	1.11624	1.11705	72474	122910496000	7
2016.06.16	16:00:00	1.11704	1.12509	1.11307	1.12230	74647	136894326000	7
2016.06.17	00:00:00	1.12231	1.12716	1.12225	1.12473	29457	39468670000	0
2016.06.17	08:00:00	1.12474	1.12676	1.12225	1.12451	56996	85326933000	7
2016.06.17	16:00:00	1.12449	1.12961	1.12416	1.12752	50103	86349440000	7
2016.06.20	00:00:00	1.13308	1.13821	1.13079	1.13778	31605	42151085000	0
2016.06.20	08:00:00	1.13778	1.13783	1.13217	1.13421	57859	97738979000	7
2016.06.20	16:00:00	1.13421	1.13571	1.13018	1.13121	52126	93317841000	7
2016.06.21	00:00:00	1.13093	1.13429	1.13060	1.13331	20287	26181542000	7
2016.06.21	08:00:00	1.13330	1.13492	1.12827	1.12843	52028	79030871000	7
2016.06.21	16:00:00	1.12842	1.13006	1.12428	1.12439	53924	88672211000	7
2016.06.22	00:00:00	1.12421	1.12697	1.12362	1.12640	18608	23688146000	0
2016.06.22	08:00:00	1.12640	1.13127	1.12535	1.13127	47961	72441972000	7
2016.06.22	16:00:00	1.13128	1.13372	1.12688	1.12947	55499	99775102000	7
2016.06.23	00:00:00	1.12937	1.13495	1.12930	1.13361	20759	25266595000	0
2016.06.23	08:00:00	1.13360	1.14208	1.13164	1.13906	65448	90612837000	7
2016.06.23	16:00:00	1.13906	1.13981	1.13401	1.13791	54964	86166164000	7
2016.06.24	00:00:00	1.13840	1.14278	1.09113	1.09477	111380	129602174000	0
2016.06.24	08:00:00	1.09476	1.11891	1.09349	1.10510	111922	154138627000	7
2016.06.24	16:00:00	1.10510	1.11796	1.10345	1.10912	74750	146198233000	7
2016.06.27	00:00:00	1.10024	1.10743	1.09840	1.10138	46504	50399626000	7
2016.06.27	08:00:00	1.10136	1.10833	1.09705	1.09916	91581	87158278000	7
2016.06.27	16:00:00	1.09916	1.10438	1.09718	1.10237	73797	82576086000	7
2016.06.28	00:00:00	1.10235	1.10640	1.10098	1.10616	26821	31191810000	0
2016.06.28	08:00:00	1.10615	1.11112	1.10472	1.10710	70154	118473312000	7
2016.06.28	16:00:00	1.10711	1.10902	1.10345	1.10647	57098	95551601000	7
2016.06.29	00:00:00	1.10641	1.10814	1.10489	1.10672	24065	26936140000	0
2016.06.29	08:00:00	1.10673	1.11114	1.10514	1.10809	70334	111191503000	7
2016.06.29	16:00:00	1.10810	1.11300	1.10737	1.11235	58167	86261806000	7
2016.06.30	00:00:00	1.11170	1.11270	1.10984	1.11014	22157	26447234000	0
2016.06.30	08:00:00	1.11015	1.11541	1.10762	1.11125	73732	116048792000	7
2016.06.30	16:00:00	1.11125	1.11238	1.10238	1.11048	76217	126602365000	7
2016.07.01	00:00:00	1.11014	1.11162	1.10868	1.10993	19922	20940134000	0
2016.07.01	08:00:00	1.10993	1.11440	1.10716	1.11318	61678	93031407000	7
2016.07.01	16:00:00	1.11318	1.11689	1.11123	1.11361	51897	78698112000	7
2016.07.04	00:00:00	1.11245	1.11439	1.11230	1.11351	19775	23086942000	7
2016.07.04	08:00:00	1.11351	1.11474	1.10975	1.11439	45311	63319067000	7
2016.07.04	16:00:00	1.11438	1.11591	1.11287	1.11532	29453	41223891000	7
2016.07.05	00:00:00	1.11528	1.11560	1.11228	1.11233	20557	23676763000	0
2016.07.05	08:00:00	1.11233	1.11862	1.11193	1.11539	57276	90564170000	7
2016.07.05	16:00:00	1.11540	1.11669	1.10619	1.10750	50614	88338209000	7
2016.07.06	00:00:00	1.10709	1.10745	1.10357	1.10526	34771	44085167000	0
2016.07.06	08:00:00	1.10526	1.10873	1.10431	1.10735	67521	102384800000	7
2016.07.06	16:00:00	1.10734	1.11112	1.10288	1.10989	56788	89671132000	7
